PeakID (cmd=annotatePeaks.pl Homer_mMET.txt mm8)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Peak8955	chr6	56852552	56854210	+	0	NA	exon (NM_026004, exon 1 of 9)	exon (NM_026004, exon 1 of 9)	129	NM_026004	107569	Mm.158936	NM_026004	ENSMUSG00000029780	Nt5c3	1600024P05Rik|2610206B05Rik|3110004A18Rik|AI842776|Nt5c3a|Nt5y|PN-1|PN-I|PSN1|UMPH|Umph-1|Umph1|cN-III|lupin|p36	5'-nucleotidase, cytosolic III	protein-coding
Peak3178	chr14	18613569	18615402	+	0	NA	promoter-TSS (NM_026528)	promoter-TSS (NM_026528)	34	NM_026528	68045	Mm.21932	NM_026528	ENSMUSG00000021807	2700060E02Rik	-	RIKEN cDNA 2700060E02 gene	protein-coding
Peak10354	chr8	46908570	46910081	+	0	NA	promoter-TSS (NM_126166)	promoter-TSS (NM_126166)	31	NM_126166	142980	Mm.33874	NM_126166	ENSMUSG00000031639	Tlr3	AI957183	toll-like receptor 3	protein-coding
Peak8869	chr6	39134684	39137202	+	0	NA	intron (NM_001033430, intron 1 of 19)	CpG	437	NM_001033430	338523	Mm.293175	NM_001033430	ENSMUSG00000042599	Kdm7a	A630082K20Rik|BB041802|ENSMUSG00000073143|Jhdm1d|mKIAA1718	lysine (K)-specific demethylase 7A	protein-coding
Peak5057	chr18	10617428	10618602	+	0	NA	intron (NM_009226, intron 1 of 3)	CpG	221	NM_009226	20641	Mm.603	NM_009226	ENSMUSG00000002477	Snrpd1	AA407109|AL023031|SMD1	small nuclear ribonucleoprotein D1	protein-coding
Peak8300	chr5	93352705	93353483	+	0	NA	intron (NM_025972, intron 1 of 10)	CpG	287	NM_001163687	67111	Mm.28890	NM_025972	ENSMUSG00000029413	Naaa	2210023K21Rik|3830414F09Rik|Asahl	N-acylethanolamine acid amidase	protein-coding
Peak6619	chr2	173969772	173974607	+	0	NA	promoter-TSS (NM_201616)	promoter-TSS (NM_201616)	-820	NM_201616	14683	Mm.125770	NM_010309	ENSMUSG00000027523	Gnas	5530400H20Rik|A930027G11Rik|C130027O20Rik|GPSA|GSP|Galphas|Gnas1|Gnasxl|Gs-alpha|Gsa|Nesp|Nesp55|Nespl|Oed-Sml|Oedsml|P1|P2|P3|PHP1A|PHP1B|POH|SCG6	GNAS (guanine nucleotide binding protein, alpha stimulating) complex locus	protein-coding
Peak52	chr1	33758121	33759424	+	0	NA	intron (NM_001290700, intron 1 of 3)	CpG	369	NM_133817	98403	Mm.289103	NM_133817	ENSMUSG00000042197	Zfp451	4930515K21Rik|4933435G09Rik|AI596398|COASTER|Kiaa0576-hp|Znf451|mKIAA1702	zinc finger protein 451	protein-coding
Peak11005	chr9	44484016	44486345	+	0	NA	intron (NM_153537, intron 1 of 21)	CpG	1013	NM_153537	102693	Mm.28639	NM_153537	ENSMUSG00000048537	Phldb1	AU041016|D330037A14Rik|Ll5a	pleckstrin homology-like domain, family B, member 1	protein-coding
Peak120	chr1	52670940	52672207	+	0	NA	5' UTR (NM_133829, exon 1 of 7)	5' UTR (NM_133829, exon 1 of 7)	290	NM_178081	98682	Mm.491173	NM_133829	ENSMUSG00000041439	Mfsd6	2210010L05Rik|9630025I22Rik|AI836200|AW212394|MMR2	major facilitator superfamily domain containing 6	protein-coding
Peak9112	chr6	97170109	97171430	+	0	NA	exon (NM_011666, exon 2 of 18)	exon (NM_011666, exon 2 of 18)	341	NM_001301858	22200	Mm.277626	NM_011666	ENSMUSG00000030061	Uba3	A830034N06Rik|AI256736|AI848246|AW546539|Ube1c	ubiquitin-like modifier activating enzyme 3	protein-coding
Peak3695	chr15	68491379	68491513	+	0	NA	Intergenic	(TTCTC)n|Simple_repeat|Simple_repeat	-266643	NM_010158	13992	Mm.17964	NM_010158	ENSMUSG00000022332	Khdrbs3	Etle|SLM-2|Salp|Slm2|T-STAR	KH domain containing, RNA binding, signal transduction associated 3	protein-coding
Peak9176	chr6	116616248	116619043	+	0	NA	exon (NM_001166580, exon 2 of 2)	exon (NM_001166580, exon 2 of 2)	1342	NM_001166580	213393	Mm.38231	NM_145980	ENSMUSG00000048489	8430408G22Rik	Depp|Fseg	RIKEN cDNA 8430408G22 gene	protein-coding
Peak5088	chr18	23946524	23948007	+	0	NA	intron (NM_153058, intron 1 of 6)	CpG	285	NM_153058	212307	Mm.132237	NM_153058	ENSMUSG00000024277	Mapre2	AI314113|C820009F03Rik|D18Abb1e|EB1|EB2|RP1	microtubule-associated protein, RP/EB family, member 2	protein-coding
Peak6954	chr3	94971126	94972683	+	0	NA	exon (NM_008945, exon 2 of 7)	exon (NM_008945, exon 2 of 7)	458	NM_008945	19172	Mm.368	NM_008945	ENSMUSG00000005779	Psmb4	Pros-27	proteasome (prosome, macropain) subunit, beta type 4	protein-coding
Peak5009	chr17	86932983	86934762	+	0	NA	promoter-TSS (NM_008838)	promoter-TSS (NM_008838)	-15	NM_019936	56724	Mm.109329	NM_019936	ENSMUSG00000024146	Cript	1200020A08Rik|AA589469	cysteine-rich PDZ-binding protein	protein-coding
Peak2714	chr13	17587122	17591174	+	0	NA	exon (NM_001081058, exon 1 of 14)	exon (NM_001081058, exon 1 of 14)	1091	NM_001081058	69562	Mm.193924	NM_027118	ENSMUSG00000041297	Cdk13	2310015O17Rik|Cdc2l5	cyclin-dependent kinase 13	protein-coding
Peak3354	chr14	54059956	54060858	+	0	NA	TTS (NM_177049)	TTS (NM_177049)	257	NM_001303502	11766	Mm.238879	NM_007455	ENSMUSG00000040701	Ap1g2	Adtg2|G2ad	adaptor protein complex AP-1, gamma 2 subunit	protein-coding
Peak5683	chr19	46092147	46093470	+	0	NA	5' UTR (NM_010697, exon 1 of 11)	5' UTR (NM_010697, exon 1 of 11)	124	NM_010697	16825	Mm.327442	NM_010697	ENSMUSG00000025223	Ldb1	CLIM2|NLI	LIM domain binding 1	protein-coding
Peak7606	chr4	116218241	116220582	+	0	NA	intron (NM_146151, intron 1 of 10)	intron (NM_146151, intron 1 of 10)	524	NM_146151	230661	Mm.482431	NM_146151	ENSMUSG00000033985	Tesk2	-	testis-specific kinase 2	protein-coding
Peak9225	chr6	124676756	124679193	+	0	NA	promoter-TSS (NM_013536)	promoter-TSS (NM_013536)	66	NM_007531	12034	Mm.36241	NM_007531	ENSMUSG00000004264	Phb2	AU044498|BAP|Bap37|Bcap37|REA	prohibitin 2	protein-coding
Peak8309	chr5	93757793	93759598	+	0	NA	promoter-TSS (NM_015756)	promoter-TSS (NM_015756)	56	NM_015756	27428	Mm.46014	NM_015756	ENSMUSG00000029381	Shroom3	AL022960|D5Ertd287e|Shrm|Shrm3	shroom family member 3	protein-coding
Peak3299	chr14	46489291	46490747	+	0	NA	intron (NM_172599, intron 1 of 9)	intron (NM_172599, intron 1 of 9)	292	NM_172599	100504663	Mm.287279	NM_172599	ENSMUSG00000037526	Atg14	4832427M01|Atg14L|D14Ertd114e|D14Ertd436e	autophagy related 14	protein-coding
Peak1543	chr11	59017436	59019308	+	0	NA	promoter-TSS (NM_026035)	promoter-TSS (NM_026035)	254	NR_037964	72203	Mm.339566	NR_037964		2610507I01Rik	5033414D05Rik	RIKEN cDNA 2610507I01 gene	ncRNA
Peak10940	chr9	26904256	26904970	+	0	NA	intron (NM_023277, intron 1 of 8)	CpG	254	NM_023277	83964	Mm.28770	NM_023277	ENSMUSG00000031990	Jam3	1110002N23Rik|JAM-3|JAM-C|Jcam3	junction adhesion molecule 3	protein-coding
Peak9964	chr7	110819546	110821273	+	0	NA	intron (NM_009431, intron 1 of 24)	CpG	277	NM_009431	22083	Mm.255858	NM_009431	ENSMUSG00000005609	Ctr9	AA409336|Sh2bp1|Tsbp|Tsp|mKIAA0155	Ctr9, Paf1/RNA polymerase II complex component, homolog (S. cerevisiae)	protein-coding
Peak5309	chr18	77977293	77979777	+	0	NA	intron (NM_007505, intron 1 of 11)	intron (NM_007505, intron 1 of 11)	691	NM_007505	11946	Mm.276137	NM_007505	ENSMUSG00000025428	Atp5a1	AI035633|AL022851|AL023067|Atpm|D18Ertd206e|Mom2	ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit 1	protein-coding
Peak3479	chr14	73680126	73682958	+	0	NA	exon (NM_001252132, exon 1 of 19)	exon (NM_001252132, exon 1 of 19)	490	NM_001252132	380916	Mm.288868	NM_001033439	ENSMUSG00000068015	Lrch1	4832412D13Rik|AI552548|AW215503|Chdc1|mKIAA1016	leucine-rich repeats and calponin homology (CH) domain containing 1	protein-coding
Peak10269	chr8	23524570	23526900	+	0	NA	promoter-TSS (NM_183142)	promoter-TSS (NM_183142)	-116	NM_007511	11979	Mm.87854	NM_007511	ENSMUSG00000006567	Atp7b	Atp7a|WND|tx	ATPase, Cu++ transporting, beta polypeptide	protein-coding
Peak9235	chr6	124880814	124884523	+	0	NA	intron (NM_026988, intron 1 of 4)	AT_rich|Low_complexity|Low_complexity	897	NM_026988	69202	Mm.142187	NM_026988	ENSMUSG00000030122	Ptms	2610009E16Rik	parathymosin	protein-coding
Peak10561	chr8	87866005	87870719	+	0	NA	exon (NM_008416, exon 1 of 1)	exon (NM_008416, exon 1 of 1)	491	NM_008416	16477	Mm.1167	NM_008416	ENSMUSG00000052837	Junb	-	jun B proto-oncogene	protein-coding
Peak8590	chr5	135293084	135295239	+	0	NA	promoter-TSS (NR_033794)	promoter-TSS (NR_033794)	78	NR_033794	68758	Mm.389700	NM_145215	ENSMUSG00000040532	Abhd11	1110054D16Rik|A630008N09Rik|Wbscr21	abhydrolase domain containing 11	protein-coding
Peak4286	chr16	42795131	42796254	+	0	NA	promoter-TSS (NR_040522)	promoter-TSS (NR_040522)	-598	NR_040522	75722	Mm.243747	NR_040521	ENSMUSG00000075070	4932412D23Rik	ENSMUSG00000075070|Gm10809	RIKEN cDNA 4932412D23 gene	ncRNA
Peak8946	chr6	54967047	54968633	+	0	NA	intron (NM_180678, intron 1 of 16)	CpG	261	NM_180678	353172	Mm.250004	NM_180678	ENSMUSG00000029777	Gars	GENA202|Gena201|Nmf249|Sgrp23	glycyl-tRNA synthetase	protein-coding
Peak1322	chr11	6315099	6317553	+	0	NA	intron (NM_008907, intron 1 of 4)	CpG	453	NM_008907	268373	Mm.5246	NM_008907		Ppia	2700098C05|Cphn|CyP-18|CypA	peptidylprolyl isomerase A	protein-coding
Peak6417	chr2	144285306	144286278	+	0	NA	intron (NM_001033297, intron 1 of 1)	intron (NM_001033297, intron 1 of 1)	286	NM_001033297	228715	Mm.27391	NM_001033297	ENSMUSG00000074754	Gm561	-	predicted gene 561	protein-coding
Peak4182	chr16	22178849	22181818	+	0	NA	intron (NM_009186, intron 1 of 8)	intron (NM_009186, intron 1 of 8)	852	NM_009186	20462	Mm.210352	NM_009186		Tra2b	5730405G21Rik|D16Ertd266e|SIG-41|Sfrs10|Silg41|TRA2beta	transformer 2 beta homolog (Drosophila)	protein-coding
Peak244	chr1	83038680	83039061	+	0	NA	promoter-TSS (NM_027725)	promoter-TSS (NM_027725)	84	NM_027725	71227	Mm.256482	NM_027725	ENSMUSG00000053161	Daw1	4930563E19Rik|4933429D11Rik|Wdr69|b2b1116Clo|b2b1584Clo	dynein assembly factor with WDR repeat domains 1	protein-coding
Peak2596	chr12	104261729	104266810	+	0	NA	intron (NM_001252569, intron 1 of 5)	intron (NM_001252569, intron 1 of 5)	400	NM_001252569	20700	Mm.439692	NM_009243	ENSMUSG00000066366	Serpina1a	Aat-2|Aat2|Dom1|PI1|Spi1-1|Spi1-3	serine (or cysteine) peptidase inhibitor, clade A, member 1A	protein-coding
Peak7831	chr4	135144358	135146481	+	0	NA	intron (NM_026383, intron 1 of 2)	intron (NM_026383, intron 1 of 2)	503	NM_026383	52830	Mm.29159	NM_026383	ENSMUSG00000028675	Pnrc2	0610011E17Rik|D4Bwg0593e	proline-rich nuclear receptor coactivator 2	protein-coding
Peak7409	chr4	53032639	53033974	+	0	NA	intron (NM_025623, intron 1 of 5)	CpG	282	NM_025623	66536	Mm.38244	NM_025623	ENSMUSG00000015247	Nipsnap3b	2700063N13Rik|Nipsnap3a	nipsnap homolog 3B (C. elegans)	protein-coding
Peak3589	chr15	27968520	27971004	+	0	NA	intron (NM_001081302, intron 1 of 56)	CpG	675	NM_001081302	223435	Mm.485422	NM_001081302	ENSMUSG00000022263	Trio	6720464I07Rik|AA408740|Solo	triple functional domain (PTPRF interacting)	protein-coding
Peak9197	chr6	120322456	120323461	+	0	NA	5' UTR (NM_026028, exon 1 of 12)	5' UTR (NM_026028, exon 1 of 12)	130	NM_026028	67200	Mm.45767	NM_026028	ENSMUSG00000030177	Ccdc77	2400002C23Rik|2700091N06Rik|AV168274	coiled-coil domain containing 77	protein-coding
Peak5482	chr19	8954928	8956597	+	0	NA	promoter-TSS (NR_104416)	promoter-TSS (NR_104416)	53	NR_027866	67531	Mm.475113	NR_027866		5730408K05Rik	2610018C13Rik	RIKEN cDNA 5730408K05 gene	ncRNA
Peak2623	chr12	110468138	110473447	+	0	NA	Intergenic	Intergenic	135088	NR_045466	67280	Mm.390495	NR_045466		3110009F21Rik	-	RIKEN cDNA 3110009F21 gene	ncRNA
Peak1109	chr10	92918793	92920146	+	0	NA	intron (NM_010401, intron 1 of 19)	intron (NM_010401, intron 1 of 19)	902	NM_010401	15109	Mm.13000	NM_010401		Hal	Hsd|his|histidase	histidine ammonia lyase	protein-coding
Peak7432	chr4	59080420	59081165	+	0	NA	intron (NM_025968, intron 1 of 9)	intron (NM_025968, intron 1 of 9)	340	NM_025968	67103	Mm.34497	NM_025968	ENSMUSG00000028378	Ptgr1	2510002C21Rik|Ltb4dh|Zadh3	prostaglandin reductase 1	protein-coding
Peak4966	chr17	78786313	78788069	+	0	NA	intron (NM_011163, intron 1 of 15)	G-rich|Low_complexity|Low_complexity	439	NM_011163	19106	Mm.378990	NM_011163	ENSMUSG00000024079	Eif2ak2	2310047A08Rik|4732414G15Rik|AI467567|AI747578|Pkr|Prkr|Tik	eukaryotic translation initiation factor 2-alpha kinase 2	protein-coding
Peak9085	chr6	90298518	90301747	+	0	NA	intron (NM_144940, intron 1 of 19)	intron (NM_144940, intron 1 of 19)	1339	NM_144940	243537	Mm.335669	NM_144940	ENSMUSG00000034456	Uroc1	AI265605|BC022133	urocanase domain containing 1	protein-coding
Peak6500	chr2	155698869	155700261	+	0	NA	promoter-TSS (NM_001145352)	promoter-TSS (NM_001145352)	-1	NM_025516	66366	Mm.141276	NM_025516	ENSMUSG00000005881	Ergic3	2310015B14Rik|AV318804|CGI-54|D2Ucla1|NY-BR-84|Sdbcag84	ERGIC and golgi 3	protein-coding
Peak5201	chr18	49880569	49881703	+	0	NA	promoter-TSS (NM_026854)	promoter-TSS (NM_026854)	-205	NM_001170960	68857	Mm.96010	NM_026854	ENSMUSG00000024505	Dtwd2	1190002H09Rik|8030470C17Rik|AI414673|BB115449	DTW domain containing 2	protein-coding
Peak4764	chr17	35124153	35125812	+	0	NA	promoter-TSS (NM_001163764)	promoter-TSS (NM_001163764)	-105	NM_025674	106795	Mm.11434	NM_025674	ENSMUSG00000050410	Tcf19	5730403J10Rik|AW495861	transcription factor 19	protein-coding
Peak9122	chr6	100636484	100637339	+	0	NA	intron (NM_181590, intron 1 of 10)	CpG	344	NM_181590	72171	Mm.256022	NM_181590	ENSMUSG00000035378	Shq1	2810403P18Rik|Grim-1	SHQ1 homolog (S. cerevisiae)	protein-coding
Peak5388	chr19	5085008	5085821	+	0	NA	promoter-TSS (NM_001001885)	promoter-TSS (NM_001001885)	63	NM_001001885	381199	Mm.329663	NM_001001885	ENSMUSG00000061451	Tmem151a	AW125688|Gm961|Tmem151	transmembrane protein 151A	protein-coding
Peak465	chr1	161068098	161070288	+	0	NA	exon (NM_011931, exon 1 of 20)	exon (NM_011931, exon 1 of 20)	190	NM_011931	26374	Mm.328135	NM_011931	ENSMUSG00000040782	Rfwd2	AI316802|C80879|Cop1	ring finger and WD repeat domain 2	protein-coding
Peak11481	chrUn_random	1193466	1194903	+	0	NA	intron (NM_001277957, intron 1 of 3)	intron (NM_001277957, intron 1 of 3)	408	NM_021466	21339	Mm.383556	NM_021466		Taf1a	TAFI48|mTAFI48	TATA box binding protein (Tbp)-associated factor, RNA polymerase I, A	protein-coding
Peak65	chr1	36251995	36253258	+	0	NA	intron (NM_001290727, intron 1 of 5)	CpG	347	NM_001172205	214855	Mm.34316	NM_145996	ENSMUSG00000037447	Arid5a	D430024K22Rik|Mrf1	AT rich interactive domain 5A (MRF1-like)	protein-coding
Peak2597	chr12	104301552	104305978	+	0	NA	intron (NM_009245, intron 1 of 4)	MTEa|LTR|MaLR	2235	NM_009245	20702	Mm.439692	NM_009245	ENSMUSG00000079015	Serpina1c	Pi3|Pi6|Skalp|Spi1-3|Spi1-6|Wap3	serine (or cysteine) peptidase inhibitor, clade A, member 1C	protein-coding
Peak11018	chr9	45656649	45659011	+	0	NA	promoter-TSS (NM_178709)	promoter-TSS (NM_178709)	42	NM_178709	235315	Mm.3255	NM_178709	ENSMUSG00000042790	Rnf214	D130054N24Rik	ring finger protein 214	protein-coding
Peak6485	chr2	154761812	154766646	+	0	NA	intron (NM_016661, intron 1 of 9)	B3|SINE|B2	1709	NM_016661	269378	Mm.330692	NM_016661	ENSMUSG00000027597	Ahcy	AA987153|AL024110|CuBP|SAHH	S-adenosylhomocysteine hydrolase	protein-coding
Peak7314	chr4	35413856	35415693	+	0	NA	promoter-TSS (NM_001081343)	promoter-TSS (NM_001081343)	-7	NM_001081343	73205	Mm.331544	NM_001081343	ENSMUSG00000028300	3110043O21Rik	AI840585	RIKEN cDNA 3110043O21 gene	protein-coding
Peak7437	chr4	59641157	59644324	+	0	NA	intron (NM_144904, intron 1 of 14)	CpG	678	NM_178164	230257	Mm.331640	NM_144904	ENSMUSG00000028382	Ptbp3	5830471K22Rik|AA407443|AI462022|AW107884|C86549|Rod1	polypyrimidine tract binding protein 3	protein-coding
Peak11671	chrX	97476538	97477755	+	0	NA	intron (NM_021521, intron 1 of 44)	intron (NM_021521, intron 1 of 44)	336	NM_021521	59024	Mm.20873	NM_021521	ENSMUSG00000079487	Med12	230kDa|Mopa|OPA-1|Tnrc11|Trap230	mediator complex subunit 12	protein-coding
Peak9384	chr7	6775359	6776129	+	0	NA	intron (NM_146179, intron 1 of 3)	intron (NM_146179, intron 1 of 3)	305	NM_146179	232854	Mm.184857	NM_146179	ENSMUSG00000034538	Zfp418	A230102I05Rik	zinc finger protein 418	protein-coding
Peak1687	chr11	72226334	72228156	+	0	NA	intron (NM_177776, intron 1 of 7)	intron (NM_177776, intron 1 of 7)	663	NM_177776	276829	Mm.46732	NM_177776	ENSMUSG00000045667	Smtnl2	D130058I21Rik	smoothelin-like 2	protein-coding
Peak6703	chr3	20086531	20088307	+	0	NA	non-coding (NR_027985, exon 1 of 1)	non-coding (NR_027985, exon 1 of 1)	397	NR_027985	70808	Mm.427103	NR_027985	ENSMUSG00000048106	4632415L05Rik	AI662792	RRS1 ribosome biogenesis regulator homolog pseudogene	pseudo
Peak11711	chrX	129622232	129623544	+	0	NA	intron (NM_001167994, intron 1 of 13)	MTE2a|LTR|MaLR	446	NM_172540	215201	Mm.289368	NM_172540	ENSMUSG00000067369	Trmt2b	4732479N06Rik	TRM2 tRNA methyltransferase 2B	protein-coding
Peak7180	chr3	138425869	138427588	+	0	NA	promoter-TSS (NM_175224)	promoter-TSS (NM_175224)	41	NM_175224	75624	Mm.26833	NM_175224	ENSMUSG00000005813	Metap1	1700029C17Rik|AW047992|mKIAA0094	methionyl aminopeptidase 1	protein-coding
Peak7967	chr4	150951210	150952209	+	0	NA	intron (NR_104381, intron 13 of 21)	intron (NR_104381, intron 13 of 21)	-8025	NM_001291010	85030	Mm.101198	NM_033042	ENSMUSG00000024793	Tnfrsf25	APO-3|DDR3|DR3|LARD|TR3|TRAMP|Tnfrsf12|WSL-1|WSL-LR|Wsl	tumor necrosis factor receptor superfamily, member 25	protein-coding
Peak5715	chr19	53363661	53368053	+	0	NA	intron (NM_001008542, intron 1 of 5)	intron (NM_001008542, intron 1 of 5)	2039	NM_001008542	17859	Mm.2154	NM_010847	ENSMUSG00000025025	Mxi1	ENSMUSG00000067085|Gm10197|Mad2|bHLHc11	MAX interactor 1, dimerization protein	protein-coding
Peak7846	chr4	135741504	135743152	+	0	NA	intron (NM_024452, intron 1 of 4)	CpG	491	NM_024452	269593	Mm.485824	NM_024452	ENSMUSG00000001089	Luzp1	2700072H04Rik|AI266952|Luzp|mFLJ00226	leucine zipper protein 1	protein-coding
Peak10476	chr8	74604852	74606547	+	0	NA	intron (NM_001190830, intron 1 of 23)	intron (NM_001190830, intron 1 of 23)	327	NM_010589	16453	Mm.249645	NM_010589	ENSMUSG00000031805	Jak3	fae|wil	Janus kinase 3	protein-coding
Peak8755	chr5	151918803	151919751	+	0	NA	intron (NM_027009, intron 1 of 8)	intron (NM_027009, intron 1 of 8)	310	NM_027009	69263	Mm.12553	NM_027009	ENSMUSG00000033970	Rfc3	2810416I22Rik|38kDa|AU022547|Recc3	replication factor C (activator 1) 3	protein-coding
Peak4223	chr16	31193337	31195032	+	0	NA	intron (NM_025800, intron 1 of 5)	intron (NM_025800, intron 1 of 5)	840	NM_025800	66849	Mm.291593	NM_025800	ENSMUSG00000047714	Ppp1r2	0610025N14Rik|2310007G06Rik|4930440J04Rik|5430408E15Rik|D16Ertd248e|IPP-2	protein phosphatase 1, regulatory (inhibitor) subunit 2	protein-coding
Peak4514	chr17	21870049	21870954	+	0	NA	intron (NM_177596, intron 1 of 4)	intron (NM_177596, intron 1 of 4)	176	NM_177596	210853	Mm.441622	NM_177596	ENSMUSG00000063383	Zfp947	6720451E15|EG210853|Gm4769	zinc finger protein 947	protein-coding
Peak7253	chr4	11082746	11085501	+	0	NA	intron (NM_021897, intron 1 of 3)	intron (NM_021897, intron 1 of 3)	535	NM_021897	60599	Mm.393018	NM_021897	ENSMUSG00000028211	Trp53inp1	2700057G22Rik|SIP|SIP18|SIP27|Stinp|Teap	transformation related protein 53 inducible nuclear protein 1	protein-coding
Peak4277	chr16	38265943	38267096	+	0	NA	intron (NM_001017429, intron 1 of 2)	intron (NM_001017429, intron 1 of 2)	281	NM_001017429	12856	Mm.27396	NM_001017429	ENSMUSG00000046516	Cox17	AI037035	cytochrome c oxidase assembly protein 17	protein-coding
Peak5145	chr18	35855953	35856743	+	0	NA	3' UTR (NM_001033168, exon 2 of 2)	3' UTR (NM_001033168, exon 2 of 2)	3385	NM_001033168	73449	Mm.379225	NM_001033168	ENSMUSG00000073598	1700066B19Rik	-	RIKEN cDNA 1700066B19 gene	protein-coding
Peak9158	chr6	114884719	114887801	+	0	NA	intron (NM_177683, intron 1 of 4)	intron (NM_177683, intron 1 of 4)	1111	NM_177683	232334	Mm.268357	NM_177683		Vgll4	BC048841|VGL-4	vestigial like 4 (Drosophila)	protein-coding
Peak9115	chr6	97317898	97319726	+	0	NA	intron (NM_145148, intron 7 of 23)	intron (NM_145148, intron 7 of 23)	-100569	NM_001081157	320502	Mm.68163	NM_001081157	ENSMUSG00000044086	Lmod3	5430424A14Rik	leiomodin 3 (fetal)	protein-coding
Peak9190	chr6	119377017	119384195	+	0	NA	intron (NM_197985, intron 1 of 7)	intron (NM_197985, intron 1 of 7)	2496	NM_197985	68465	Mm.291826	NM_197985	ENSMUSG00000030168	Adipor2	1110001I14Rik|ADCR2|AI115388|AW554121|D6Ucla1e|Paqr2	adiponectin receptor 2	protein-coding
Peak4957	chr17	74299910	74301640	+	0	NA	intron (NM_001252478, intron 1 of 13)	CpG	185	NM_144798	210148	Mm.243943	NM_144798	ENSMUSG00000024069	Slc30a6	9530029F08Rik|ZnT6	solute carrier family 30 (zinc transporter), member 6	protein-coding
Peak8340	chr5	102005039	102006089	+	0	NA	5' UTR (NM_173370, exon 1 of 13)	5' UTR (NM_173370, exon 1 of 13)	132	NM_173370	74596	Mm.46764	NM_173370	ENSMUSG00000029330	Cds1	4833409J18Rik|AI314024|AW125888	CDP-diacylglycerol synthase 1	protein-coding
Peak10466	chr8	74414392	74415242	+	0	NA	exon (NM_001164679, exon 1 of 17)	exon (NM_001164679, exon 1 of 17)	239	NM_001164679	382014	Mm.260360	NM_001164679	ENSMUSG00000034863	Ano8	BC053460|Tmem16h	anoctamin 8	protein-coding
Peak773	chr10	39946119	39947921	+	0	NA	promoter-TSS (NM_026113)	promoter-TSS (NM_026113)	61	NM_026113	67371	Mm.64104	NM_026113	ENSMUSG00000019837	Gtf3c6	2410016F19Rik|AU019813	general transcription factor IIIC, polypeptide 6, alpha	protein-coding
Peak6494	chr2	155382246	155383869	+	0	NA	intron (NM_019828, intron 1 of 18)	intron (NM_019828, intron 1 of 18)	768	NM_019828	56407	Mm.234944	NM_019828	ENSMUSG00000038324	Trpc4ap	4833429F06Rik|D2Ertd113e|Trrp4ap|mFLJ00177|truss	transient receptor potential cation channel, subfamily C, member 4 associated protein	protein-coding
Peak6075	chr2	71167547	71169323	+	0	NA	promoter-TSS (NM_172436)	promoter-TSS (NM_172436)	-42	NM_172436	78830	Mm.30928	NM_172436		Slc25a12	2610002D09Rik|AI839531|B230107K20Rik|BB129864	solute carrier family 25 (mitochondrial carrier, Aralar), member 12	protein-coding
Peak1339	chr11	16850792	16851885	+	0	NA	promoter-TSS (NM_176982)	promoter-TSS (NM_176982)	-53	NR_110423	72735	Mm.268598	NR_015469		Eldr	2810442I21Rik|4930500E12Rik|Fabl	Egfr long non-coding downstream RNA	ncRNA
Peak7070	chr3	108212848	108215115	+	0	NA	promoter-TSS (NM_001289720)	promoter-TSS (NM_001289720)	-499	NM_001289720	109674	Mm.274335	NM_028779	ENSMUSG00000027889	Ampd2	1200014F01Rik|AI552571|Ampd-2	adenosine monophosphate deaminase 2	protein-coding
Peak5519	chr19	12032817	12034004	+	0	NA	intron (NM_001033174, intron 1 of 13)	CpG	521	NM_001033174	76303	Mm.291279	NM_001033174	ENSMUSG00000024687	Osbp	1110018F06Rik|AW559088|mKIAA4220	oxysterol binding protein	protein-coding
Peak9811	chr7	80142685	80144020	+	0	NA	5' UTR (NM_178070, exon 1 of 23)	5' UTR (NM_178070, exon 1 of 23)	184	NM_178070	233405	Mm.322870	NM_178070	ENSMUSG00000030534	Vps33b	-	vacuolar protein sorting 33B (yeast)	protein-coding
Peak4318	chr16	55897727	55900642	+	0	NA	exon (NM_173026, exon 1 of 11)	exon (NM_173026, exon 1 of 11)	384	NR_027965	66391	Mm.472722	NM_133677	ENSMUSG00000102101	Zbtb11os1	2310061J03Rik	zinc finger and BTB domain containing 11, opposite strand 1	ncRNA
Peak6099	chr2	75782201	75783087	+	0	NA	5' UTR (NM_030188, exon 1 of 1)	5' UTR (NM_030188, exon 1 of 1)	162	NM_030188	78802	Mm.282339	NM_030188		Ttc30a1	4930506L13Rik	tetratricopeptide repeat domain 30A1	protein-coding
Peak4456	chr17	10160011	10164083	+	0	NA	intron (NM_001159517, intron 1 of 7)	GC_rich|Low_complexity|Low_complexity	671	NM_021881	19317	Mm.130694	NM_021881	ENSMUSG00000062078	Qk	1110003F05Rik|1500005P18|QkI|l(17)-1Wis|l17Wis1	quaking	protein-coding
Peak10304	chr8	27623000	27624880	+	0	NA	5' UTR (NM_199042, exon 1 of 3)	5' UTR (NM_199042, exon 1 of 3)	226	NM_199042	73754	Mm.383241	NM_199042		Thap1	4833431A01Rik|AW490810	THAP domain containing, apoptosis associated protein 1	protein-coding
