PeakID (cmd=annotatePeaks.pl .Homer.txt hg19)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
7091	chr19	49977099	49977966	+	0	NA	promoter-TSS (NM_001278638)	promoter-TSS (NM_001278638)	66	NM_001278638	2323	Hs.428	NM_001459	ENSG00000090554	FLT3LG	FL|FLT3L	fms-related tyrosine kinase 3 ligand	protein-coding
7092	chr19	49981859	49982749	+	0	NA	exon (NM_001278638, exon 6 of 9)	exon (NM_001278638, exon 6 of 9)	4486	NM_001204503	2323	Hs.428	NM_001459	ENSG00000090554	FLT3LG	FL|FLT3L	fms-related tyrosine kinase 3 ligand	protein-coding
7093	chr19	49990045	49993464	+	0	NA	intron (NR_073024, intron 1 of 7)	MIRb|SINE|MIR	889	NR_026712	728658	Hs.645344	NR_026712	ENSG00000236552	RPL13AP5	RPL13A_8_1086|bA196N24.2	ribosomal protein L13a pseudogene 5	pseudo
7094	chr19	49997844	50001356	+	0	NA	promoter-TSS (NM_001015)	promoter-TSS (NM_001015)	-22	NM_001015	6205	Hs.433529	NM_001015	ENSG00000142534	RPS11	S11	ribosomal protein S11	protein-coding
7095	chr19	50082650	50085308	+	0	NA	promoter-TSS (NM_000951)	promoter-TSS (NM_000951)	-150	NM_015953	51070	Hs.7236	NM_015953	ENSG00000142546	NOSIP	CGI-25	nitric oxide synthase interacting protein	protein-coding
7096	chr19	50093447	50097355	+	0	NA	intron (NM_020719, intron 1 of 13)	CpG	489	NM_020719	57479	Hs.590971	NM_020719	ENSG00000126464	PRR12	KIAA1205	proline rich 12	protein-coding
7097	chr19	50141143	50147018	+	0	NA	promoter-TSS (NM_006270)	promoter-TSS (NM_006270)	-680	NM_006270	6237	Hs.515536	NM_006270	ENSG00000126458	RRAS	-	related RAS viral (r-ras) oncogene homolog	protein-coding
7098	chr19	50167202	50170721	+	0	NA	non-coding (NR_104205, exon 1 of 3)	non-coding (NR_104205, exon 1 of 3)	171	NM_001197126	3661	Hs.75254	NM_001571	ENSG00000126456	IRF3	-	interferon regulatory factor 3	protein-coding
7099	chr19	50178455	50182314	+	0	NA	promoter-TSS (NM_198318)	promoter-TSS (NM_198318)	-25	NM_001207042	3276	Hs.20521	NM_001536	ENSG00000126457	PRMT1	ANM1|HCP1|HRMT1L2|IR1B4	protein arginine methyltransferase 1	protein-coding
7100	chr19	50219641	50221876	+	0	NA	Intergenic	Intergenic	26393	NM_001199753	126129	Hs.112195	NM_152359	ENSG00000169169	CPT1C	CATL1|CPT1-B|CPT1P|CPTI-B|CPTIC|SPG73	carnitine palmitoyltransferase 1C	protein-coding
7101	chr19	50268948	50271748	+	0	NA	5' UTR (NM_014203, exon 1 of 24)	5' UTR (NM_014203, exon 1 of 24)	168	NM_014203	160	Hs.467125	NM_014203	ENSG00000196961	AP2A1	ADTAA|AP2-ALPHA|CLAPA1	adaptor-related protein complex 2, alpha 1 subunit	protein-coding
7102	chr19	50311863	50313127	+	0	NA	non-coding (NR_033269, exon 6 of 10)	non-coding (NR_033269, exon 6 of 10)	4072	NR_033269	80199	Hs.288800	NM_025129	ENSG00000010361	FUZ	FY|NTD	fuzzy planar cell polarity protein	protein-coding
7103	chr19	50316632	50316866	+	0	NA	promoter-TSS (NR_033269)	promoter-TSS (NR_033269)	-182	NM_001171937	80199	Hs.288800	NM_025129	ENSG00000010361	FUZ	FY|NTD	fuzzy planar cell polarity protein	protein-coding
7104	chr19	50320482	50322826	+	0	NA	exon (NM_030973, exon 1 of 18)	exon (NM_030973, exon 1 of 18)	118	NM_030973	81857	Hs.656639	NM_030973	ENSG00000104973	MED25	ACID1|ARC92|BVSYS|CMT2B2|P78|PTOV2|TCBAP0758	mediator complex subunit 25	protein-coding
7105	chr19	50353445	50355945	+	0	NA	exon (NM_017432, exon 1 of 13)	exon (NM_017432, exon 1 of 13)	238	NR_040037	100506033	Hs.654814	NR_040037	ENSG00000268006	PTOV1-AS1	-	PTOV1 antisense RNA 1	ncRNA
7106	chr19	50368457	50371169	+	0	NA	intron (NM_007254, intron 2 of 16)	intron (NM_007254, intron 2 of 16)	1009	NM_007254	11284	Hs.78016	NM_007254	ENSG00000039650	PNKP	AOA4|EIEE10|MCSZ|PNK	polynucleotide kinase 3'-phosphatase	protein-coding
7107	chr19	50372343	50373913	+	0	NA	3' UTR (NM_001098633, exon 5 of 5)	3' UTR (NM_001098633, exon 5 of 5)	-2306	NM_007254	11284	Hs.78016	NM_007254	ENSG00000039650	PNKP	AOA4|EIEE10|MCSZ|PNK	polynucleotide kinase 3'-phosphatase	protein-coding
7108	chr19	50378401	50382969	+	0	NA	promoter-TSS (NM_001168222)	promoter-TSS (NM_001168222)	3	NM_001168222	79735	Hs.631587	NM_024682	ENSG00000104946	TBC1D17	-	TBC1 domain family, member 17	protein-coding
7109	chr19	50430958	50434165	+	0	NA	promoter-TSS (NM_001290746)	promoter-TSS (NM_001290746)	161	NM_001193646	22809	Hs.9754	NM_012068	ENSG00000169136	ATF5	ATFX|HMFN0395	activating transcription factor 5	protein-coding
7110	chr19	50527386	50530079	+	0	NA	promoter-TSS (NM_015428)	promoter-TSS (NM_015428)	73	NM_016440	51231	Hs.443330	NM_016440	ENSG00000105053	VRK3	-	vaccinia related kinase 3	protein-coding
7111	chr19	50650468	50651855	+	0	NA	Intergenic	Intergenic	-7584	NR_024243	100170227	Hs.717309	NR_024243		SNAR-D	-	small ILF3/NF90-associated RNA D	snRNA
7112	chr19	50706309	50709359	+	0	NA	intron (NM_024729, intron 1 of 40)	MIR|SINE|MIR	949	NM_001145809	79784	Hs.467142	NM_024729	ENSG00000105357	MYH14	DFNA4|DFNA4A|FP17425|MHC16|MYH17|NMHC II-C|NMHC-II-C|PNMHH|myosin	myosin, heavy chain 14, non-muscle	protein-coding
7113	chr19	50831369	50834680	+	0	NA	promoter-TSS (NM_004977)	promoter-TSS (NM_004977)	-390	NM_004977	3748	Hs.467146	NM_004977	ENSG00000131398	KCNC3	KSHIIID|KV3.3|SCA13	potassium channel, voltage gated Shaw related subfamily C, member 3	protein-coding
7114	chr19	50871753	50872885	+	0	NA	Intergenic	Intergenic	-3388	NM_004851	9476	Hs.512843	NM_004851	ENSG00000131400	NAPSA	KAP|Kdap|NAP1|NAPA|SNAPA	napsin A aspartic peptidase	protein-coding
7115	chr19	50879063	50880885	+	0	NA	intron (NM_007121, intron 1 of 9)	CpG	294	NM_001256647	7376	Hs.432976	NM_007121	ENSG00000131408	NR1H2	LXR-b|LXRB|NER|NER-I|RIP15|UNR	nuclear receptor subfamily 1, group H, member 2	protein-coding
7116	chr19	50886863	50889000	+	0	NA	intron (NR_046402, intron 1 of 25)	CpG	351	NM_001256849	5424	Hs.279413	NM_002691	ENSG00000062822	POLD1	CDC2|CRCS10|MDPL|POLD	polymerase (DNA directed), delta 1, catalytic subunit	protein-coding
7117	chr19	50934563	50935863	+	0	NA	promoter-TSS (NM_004533)	promoter-TSS (NM_004533)	-947	NM_004533	4606	Hs.85937	NM_004533	ENSG00000086967	MYBPC2	MYBPC|MYBPCF	myosin binding protein C, fast type	protein-coding
7118	chr19	50979027	50981685	+	0	NA	promoter-TSS (NM_138411)	promoter-TSS (NM_138411)	-353	NM_001308429	112703	Hs.448941	NM_138411	ENSG00000142530	FAM71E1	-	family with sequence similarity 71, member E1	protein-coding
7119	chr19	51013482	51015544	+	0	NA	promoter-TSS (NM_138334)	promoter-TSS (NM_138334)	-97	NM_001270686	126119	Hs.467151	NM_138334	ENSG00000161677	JOSD2	SBBI54	Josephin domain containing 2	protein-coding
7120	chr19	51059294	51060434	+	0	NA	intron (NM_001080457, intron 1 of 2)	L2a|LINE|L2	11438	NM_001080457	94030	Hs.120873	NM_001080457	ENSG00000131409	LRRC4B	HSM|LRIG4	leucine rich repeat containing 4B	protein-coding
7121	chr19	51142418	51143592	+	0	NA	promoter-TSS (NM_001160328)	promoter-TSS (NM_001160328)	87	NM_001160328	84258	Hs.515554	NM_032298	ENSG00000213023	SYT3	SytIII	synaptotagmin III	protein-coding
7122	chr19	51160471	51162792	+	0	NA	intron (NM_001195076, intron 4 of 4)	intron (NM_001195076, intron 4 of 4)	8929	NM_001195076	342918	Hs.531650	NM_001195076	ENSG00000235034	C19orf81	-	chromosome 19 open reading frame 81	protein-coding
7123	chr19	51221614	51223078	+	0	NA	Intergenic	CpG	-2151	NM_016148	50944	Hs.274255	NM_016148	ENSG00000161681	SHANK1	SPANK-1|SSTRIP|synamon	SH3 and multiple ankyrin repeat domains 1	protein-coding
7124	chr19	51227406	51229920	+	0	NA	exon (NM_002975, exon 4 of 4)	exon (NM_002975, exon 4 of 4)	2058	NM_002975	6320	Hs.512680	NM_002975	ENSG00000105472	CLEC11A	CLECSF3|LSLCL|P47|SCGF	C-type lectin domain family 11, member A	protein-coding
7125	chr19	51305621	51308989	+	0	NA	intron (NM_001290149, intron 1 of 5)	intron (NM_001290149, intron 1 of 5)	506	NM_032712	84798	Hs.256301	NM_032712	ENSG00000167747	C19orf48	-	chromosome 19 open reading frame 48	protein-coding
7126	chr19	51321079	51322060	+	0	NA	TTS (NM_002257)	TTS (NM_002257)	632	NR_038359	284365	Hs.161397	NR_038359	ENSG00000180279	MGC45922	-	uncharacterized LOC284365	ncRNA
7127	chr19	51338549	51339782	+	0	NA	intron (NR_131203, intron 2 of 2)	intron (NR_131203, intron 2 of 2)	-4386	NM_001277081	55554	Hs.567535	NM_017509	ENSG00000174562	KLK15	ACO|HSRNASPH	kallikrein related peptidase 15	protein-coding
7128	chr19	51503665	51506028	+	0	NA	TTS (NM_012315)	TTS (NM_012315)	112	NR_104008	11202	Hs.104570	NM_007196	ENSG00000129455	KLK8	HNP|NP|NRPN|PRSS19|TADG14	kallikrein related peptidase 8	protein-coding
7129	chr19	51519917	51523399	+	0	NA	intron (NM_145888, intron 2 of 5)	intron (NM_145888, intron 2 of 5)	1296	NM_145888	5655	Hs.275464	NM_002776	ENSG00000129451	KLK10	NES1|PRSSL1	kallikrein related peptidase 10	protein-coding
7130	chr19	51610273	51612317	+	0	NA	intron (NM_145232, intron 1 of 2)	intron (NM_145232, intron 1 of 2)	352	NM_145232	90353	Hs.148425	NM_145232	ENSG00000142544	CTU1	ATPBD3|NCS6	cytosolic thiouridylase subunit 1	protein-coding
7131	chr19	51841874	51843938	+	0	NA	intron (NM_001163922, intron 4 of 9)	intron (NM_001163922, intron 4 of 9)	2472	NM_001163922	147645	Hs.293236	NM_001163922	ENSG00000186806	VSIG10L	-	V-set and immunoglobulin domain containing 10 like	protein-coding
7132	chr19	51868220	51872150	+	0	NA	promoter-TSS (NM_001985)	promoter-TSS (NM_001985)	-513	NM_001985	2109	Hs.348531	NM_001985	ENSG00000105379	ETFB	FP585|MADD	electron-transfer-flavoprotein, beta polypeptide	protein-coding
7133	chr19	51896850	51899090	+	0	NA	Intergenic	Intergenic	-4142	NM_001193623	147646	Hs.148344	NM_001193623	ENSG00000262874	C19orf84	-	chromosome 19 open reading frame 84	protein-coding
7134	chr19	52073870	52075600	+	0	NA	intron (NM_007147, intron 1 of 4)	intron (NM_007147, intron 1 of 4)	204	NM_007147	7728	Hs.119014	NM_007147	ENSG00000105497	ZNF175	OTK18	zinc finger protein 175	protein-coding
7135	chr19	52097228	52098353	+	0	NA	promoter-TSS (NR_034159)	promoter-TSS (NR_034159)	-157	NR_034159	729975	Hs.716785	NR_034159		LINC01530	-	long intergenic non-protein coding RNA 1530	ncRNA
7136	chr19	52190399	52194635	+	0	NA	promoter-TSS (NM_001316994)	promoter-TSS (NM_001316994)	-170	NM_001316994	147650	Hs.467174	NM_207324	ENSG00000182310	SPACA6	LET7EH|LINC00085|NCRNA00085|SPACA6P	sperm acrosome associated 6	protein-coding
7137	chr19	52206990	52208814	+	0	NA	intron (NM_001316972, intron 8 of 8)	MSR1|Satellite|Satellite	-11193	NR_108100	102238594	Hs.640185	NR_108100	ENSG00000269959	SPACA6P-AS	LINC01129	SPACA6P antisense RNA	ncRNA
7138	chr19	52406972	52408444	+	0	NA	intron (NM_023074, intron 1 of 4)	intron (NM_023074, intron 1 of 4)	597	NM_023074	65251	Hs.148322	NM_023074	ENSG00000198093	ZNF649	-	zinc finger protein 649	protein-coding
7139	chr19	52429897	52431642	+	0	NA	promoter-TSS (NM_001031721)	promoter-TSS (NM_001031721)	81	NM_001031721	79898	Hs.183390	NM_024840	ENSG00000176024	ZNF613	-	zinc finger protein 613	protein-coding
7140	chr19	52489035	52490907	+	0	NA	intron (NM_021632, intron 1 of 4)	intron (NM_021632, intron 1 of 4)	108	NM_021632	59348	Hs.407694	NM_021632	ENSG00000256683	ZNF350	ZBRK1|ZFQR	zinc finger protein 350	protein-coding
7141	chr19	52510819	52511885	+	0	NA	intron (NM_198480, intron 1 of 5)	CpG	131	NM_198480	284370	Hs.368355	NM_198480	ENSG00000197619	ZNF615	-	zinc finger protein 615	protein-coding
7142	chr19	52530789	52532409	+	0	NA	promoter-TSS (NM_025040)	promoter-TSS (NM_025040)	81	NM_025040	80110	Hs.292336	NM_025040	ENSG00000142556	ZNF614	-	zinc finger protein 614	protein-coding
7143	chr19	52641355	52643792	+	0	NA	intron (NM_178523, intron 1 of 3)	intron (NM_178523, intron 1 of 3)	618	NM_178523	90317	Hs.645225	NM_178523		ZNF616	-	zinc finger protein 616	protein-coding
7144	chr19	52692052	52695038	+	0	NA	intron (NM_014225, intron 1 of 14)	CpG	490	NM_014225	5518	Hs.467192	NM_014225		PPP2R1A	MRD36|PP2A-Aalpha|PP2AAALPHA|PR65A	protein phosphatase 2, regulatory subunit A, alpha	protein-coding
7145	chr19	52772207	52774147	+	0	NA	intron (NM_001010851, intron 1 of 3)	CpG	353	NM_001010851	90321	Hs.439662	NM_001010851		ZNF766	-	zinc finger protein 766	protein-coding
7146	chr19	52799493	52801539	+	0	NA	promoter-TSS (NM_144684)	promoter-TSS (NM_144684)	94	NM_001297624	147657	Hs.729317	NM_144684	ENSG00000198464	ZNF480	-	zinc finger protein 480	protein-coding
7147	chr19	53030336	53032166	+	0	NA	intron (NM_001039886, intron 1 of 4)	CpG	342	NM_001039886	388558	Hs.729294	NM_001039886	ENSG00000198482	ZNF808	-	zinc finger protein 808	protein-coding
7148	chr19	53072977	53074542	+	0	NA	promoter-TSS (NM_001172655)	promoter-TSS (NM_001172655)	-158	NM_001172655	55762	Hs.235167	NM_018260	ENSG00000167562	ZNF701	-	zinc finger protein 701	protein-coding
7149	chr19	53104034	53105330	+	0	NA	Intergenic	CpG	4745	NR_023311	7696	Hs.373648	NM_003438		ZNF137P	ZNF137|pHZ-30	zinc finger protein 137, pseudogene	pseudo
7150	chr19	53140465	53142012	+	0	NA	intron (NM_001277951, intron 1 of 2)	CpG	406	NM_001105550	55769	Hs.467210	NM_018300	ENSG00000167766	ZNF83	HPF1|ZNF816B	zinc finger protein 83	protein-coding
7151	chr19	53192516	53194366	+	0	NA	intron (NM_001277947, intron 1 of 5)	CpG	393	NM_001277945	55769	Hs.467210	NM_018300	ENSG00000167766	ZNF83	HPF1|ZNF816B	zinc finger protein 83	protein-coding
7152	chr19	53237128	53238752	+	0	NA	intron (NM_001161501, intron 1 of 4)	CpG	357	NM_001161501	81856	Hs.143951	NM_030972	ENSG00000213020	ZNF611	-	zinc finger protein 611	protein-coding
7153	chr19	53288927	53290571	+	0	NA	intron (NM_198457, intron 1 of 2)	CpG	285	NM_198457	162966	Hs.696848	NM_198457		ZNF600	KR-ZNF1	zinc finger protein 600	protein-coding
7154	chr19	53323859	53325484	+	0	NA	intron (NR_036600, intron 1 of 2)	intron (NR_036600, intron 1 of 2)	251	NR_036600	7576	Hs.732407	NM_006969	ENSG00000198538	ZNF28	KOX24	zinc finger protein 28	protein-coding
7155	chr19	53359667	53361356	+	0	NA	intron (NR_102299, intron 1 of 5)	intron (NR_102299, intron 1 of 5)	391	NR_102299	90333	Hs.467223	NM_199132	ENSG00000204604	ZNF468	-	zinc finger protein 468	protein-coding
7156	chr19	53399439	53401415	+	0	NA	Intergenic	Intergenic	-5828	NM_207333	162967	Hs.369632	NM_207333	ENSG00000182986	ZNF320	ZFPL	zinc finger protein 320	protein-coding
7157	chr19	53425555	53427226	+	0	NA	Intergenic	Intergenic	-5206	NM_001310127	388559		NM_001310127		ZNF888	-	zinc finger protein 888	protein-coding
7158	chr19	53444495	53446457	+	0	NA	intron (NM_001202473, intron 3 of 3)	CpG	371	NR_037805	399669	Hs.745445	NM_203307	ENSG00000213801	ZNF321P	ZNF321	zinc finger protein 321, pseudogene	pseudo
7159	chr19	53464953	53466828	+	0	NA	intron (NM_001031665, intron 1 of 4)	CpG	274	NM_001202456	125893	Hs.655592	NM_001031665	ENSG00000180257	ZNF816	ZNF816A	zinc finger protein 816	protein-coding
7160	chr19	53605346	53607572	+	0	NA	intron (NM_198893, intron 1 of 6)	CpG	228	NM_198893	90338	Hs.655967	NM_033288	ENSG00000170949	ZNF160	F11|HKr18|HZF5|KR18	zinc finger protein 160	protein-coding
7161	chr19	53700345	53701151	+	0	NA	Intergenic	AluY|SINE|Alu	-4129	NM_024733	79788	Hs.745230	NM_024733		ZNF665	ZFP160L	zinc finger protein 665	protein-coding
7162	chr19	53836429	53838111	+	0	NA	intron (NM_138374, intron 1 of 3)	CpG	268	NM_138374	91664	Hs.720672	NM_138374	ENSG00000213799	ZNF845	-	zinc finger protein 845	protein-coding
7163	chr19	53868551	53870103	+	0	NA	intron (NR_003699, intron 1 of 3)	CpG	359	NR_003699	170958	Hs.352638	NR_003699	ENSG00000203326	ZNF525	-	zinc finger protein 525	pseudo
7164	chr19	53897811	53899795	+	0	NA	intron (NM_001040185, intron 1 of 3)	CpG	406	NM_001040185	91661	Hs.685640	NM_138372	ENSG00000196417	ZNF765	-	zinc finger protein 765	protein-coding
7165	chr19	53934677	53936479	+	0	NA	intron (NM_001289951, intron 1 of 5)	CpG	351	NR_110551	388561	Hs.433293	NM_001008401	ENSG00000160336	ZNF761	ZNF468	zinc finger protein 761	protein-coding
7166	chr19	54368236	54373795	+	0	NA	promoter-TSS (NM_001020819)	promoter-TSS (NM_001020819)	-104	NM_001290191	91663	Hs.380906	NM_138373	ENSG00000179820	MYADM	SB135	myeloid-associated differentiation marker	protein-coding
7167	chr19	54384791	54385889	+	0	NA	promoter-TSS (NM_002739)	promoter-TSS (NM_002739)	-98	NM_001316329	5582	Hs.631564	NM_002739	ENSG00000126583	PRKCG	PKC-gamma|PKCC|PKCG|SCA14	protein kinase C, gamma	protein-coding
7168	chr19	54482565	54486265	+	0	NA	intron (NM_031895, intron 3 of 3)	intron (NM_031895, intron 3 of 3)	-1146	NR_030632	100126325		NR_030632	ENSG00000215998	MIR935	MIRN935|hsa-mir-935|mir-935	microRNA 935	ncRNA
7169	chr19	54598578	54600407	+	0	NA	intron (NM_001282349, intron 4 of 4)	CT-rich|Low_complexity|Low_complexity	6502	NM_001282349	126014	Hs.347655	NM_130771	ENSG00000170909	OSCAR	PIGR3|PIgR-3	osteoclast associated, immunoglobulin-like receptor	protein-coding
7170	chr19	54605467	54607580	+	0	NA	promoter-TSS (NM_133169)	promoter-TSS (NM_133169)	363	NM_004542	4696	Hs.198269	NM_004542		NDUFA3	B9|CI-B9	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 3, 9kDa	protein-coding
7171	chr19	54617792	54620452	+	0	NA	promoter-TSS (NM_013342)	promoter-TSS (NM_013342)	-67	NM_013342	29844	Hs.590939	NM_013342	ENSG00000105619	TFPT	FB1|INO80F|amida	TCF3 (E2A) fusion partner (in childhood Leukemia)	protein-coding
7172	chr19	54639846	54643466	+	0	NA	5' UTR (NM_014516, exon 1 of 18)	5' UTR (NM_014516, exon 1 of 18)	220	NM_014516	4849	Hs.343571	NM_014516	ENSG00000088038	CNOT3	LENG2|NOT3|NOT3H	CCR4-NOT transcription complex subunit 3	protein-coding
7173	chr19	54662163	54664988	+	0	NA	promoter-TSS (NM_024316)	promoter-TSS (NM_024316)	-94	NM_024316	79165	Hs.590974	NM_024316		LENG1	-	leukocyte receptor cluster (LRC) member 1	protein-coding
7174	chr19	54675378	54677521	+	0	NA	TTS (NM_001146056)	TTS (NM_001146056)	495	NM_001145303	147798	Hs.355126	NM_144686	ENSG00000167608	TMC4	-	transmembrane channel like 4	protein-coding
7175	chr19	54692029	54696478	+	0	NA	promoter-TSS (NM_001146082)	promoter-TSS (NM_001146082)	134	NM_001282333	79042	Hs.15580	NM_024075	ENSG00000170892	TSEN34	LENG5|PCH2C|SEN34|SEN34L	TSEN34 tRNA splicing endonuclease subunit	protein-coding
7176	chr19	54703495	54706613	+	0	NA	exon (NM_001013, exon 2 of 5)	exon (NM_001013, exon 2 of 5)	328	NM_001013	6203	Hs.467284	NM_001013	ENSG00000170889	RPS9	S9	ribosomal protein S9	protein-coding
7177	chr19	54958670	54962294	+	0	NA	promoter-TSS (NR_126418)	promoter-TSS (NR_126418)	142	NM_052925	114823	Hs.502378	NM_052925	ENSG00000167615	LENG8	pp13842	leukocyte receptor cluster (LRC) member 8	protein-coding
7178	chr19	54973236	54976723	+	0	NA	promoter-TSS (NM_198988)	promoter-TSS (NM_198988)	-85	NM_198988	94059	Hs.590976	NM_198988	ENSG00000275183	LENG9	-	leukocyte receptor cluster (LRC) member 9	protein-coding
7179	chr19	55477349	55479104	+	0	NA	intron (NM_017852, intron 1 of 12)	AluJb|SINE|Alu	515	NM_017852	55655	Hs.369279	NM_017852	ENSG00000022556	NLRP2	CLR19.9|NALP2|NBS1|PAN1|PYPAF2	NLR family, pyrin domain containing 2	protein-coding
7180	chr19	55516853	55518767	+	0	NA	Intergenic	Intergenic	31822	NM_016363	51206	Hs.661752	NM_016363	ENSG00000088053	GP6	BDPLT11|GPIV|GPVI	glycoprotein VI (platelet)	protein-coding
7181	chr19	55573017	55574911	+	0	NA	intron (NM_138412, intron 2 of 7)	AluSz6|SINE|Alu	621	NM_001145971	112724	Hs.327631	NM_138412	ENSG00000160439	RDH13	SDR7C3	retinol dehydrogenase 13 (all-trans/9-cis)	protein-coding
7182	chr19	55580182	55581215	+	0	NA	5' UTR (NM_138412, exon 1 of 8)	5' UTR (NM_138412, exon 1 of 8)	216	NM_138412	112724	Hs.327631	NM_138412	ENSG00000160439	RDH13	SDR7C3	retinol dehydrogenase 13 (all-trans/9-cis)	protein-coding
7183	chr19	55590834	55593292	+	0	NA	intron (NM_017729, intron 1 of 14)	CpG	303	NM_017729	54869	Hs.438862	NM_017729	ENSG00000131037	EPS8L1	DRC3|EPS8R1|PP10566	EPS8-like 1	protein-coding
7184	chr19	55626930	55630175	+	0	NA	intron (NM_001271618, intron 1 of 21)	CpG	416	NM_017607	54776	Hs.631579	NM_017607	ENSG00000125503	PPP1R12C	LENG3|MBS85|p84|p85	protein phosphatase 1, regulatory subunit 12C	protein-coding
7185	chr19	55656817	55659244	+	0	NA	intron (NM_003283, intron 4 of 13)	intron (NM_003283, intron 4 of 13)	2692	NM_001126132	7138	Hs.631558	NM_003283	ENSG00000105048	TNNT1	ANM|NEM5|STNT|TNT|TNTS	troponin T type 1 (skeletal, slow)	protein-coding
7186	chr19	55667298	55668509	+	0	NA	intron (NM_000363, intron 3 of 6)	CpG-14399	1197	NM_000363	7137	Hs.709179	NM_000363	ENSG00000129991	TNNI3	CMD1FF|CMD2A|CMH7|RCM1|TNNC1|cTnI	troponin I type 3 (cardiac)	protein-coding
7187	chr19	55670381	55672107	+	0	NA	intron (NM_001256714, intron 10 of 11)	intron (NM_001256714, intron 10 of 11)	-2144	NM_000363	7137	Hs.709179	NM_000363	ENSG00000129991	TNNI3	CMD1FF|CMD2A|CMH7|RCM1|TNNC1|cTnI	troponin I type 3 (cardiac)	protein-coding
7188	chr19	55677148	55679226	+	0	NA	promoter-TSS (NM_001256716)	promoter-TSS (NM_001256716)	-97	NM_001256716	352909	Hs.351582	NM_178837	ENSG00000167646	DNAAF3	C19orf51|CILD2|DAB1|PCD|PF22	dynein, axonemal, assembly factor 3	protein-coding
7189	chr19	55684489	55685962	+	0	NA	intron (NM_001297774, intron 6 of 6)	CpG	5586	NM_001297774	6861	Hs.631566	NM_003180		SYT5	-	synaptotagmin V	protein-coding
7190	chr19	55700708	55702149	+	0	NA	intron (NM_002842, intron 12 of 19)	intron (NM_002842, intron 12 of 19)	-9708	NM_003180	6861	Hs.631566	NM_003180		SYT5	-	synaptotagmin V	protein-coding
7191	chr19	55718008	55718834	+	0	NA	intron (NM_002842, intron 2 of 19)	intron (NM_002842, intron 2 of 19)	2453	NM_002842	5794	Hs.179770	NM_002842	ENSG00000080031	PTPRH	R-PTP-H|SAP1	protein tyrosine phosphatase, receptor type, H	protein-coding
7192	chr19	55727450	55729428	+	0	NA	Intergenic	CpG	-7565	NM_001161440	5794	Hs.179770	NM_002842	ENSG00000080031	PTPRH	R-PTP-H|SAP1	protein tyrosine phosphatase, receptor type, H	protein-coding
7193	chr19	55768215	55771595	+	0	NA	5' UTR (NM_014931, exon 1 of 24)	5' UTR (NM_014931, exon 1 of 24)	133	NM_014931	22870	Hs.515610	NM_014931	ENSG00000105063	PPP6R1	KIAA1115|PP6R1|SAP190|SAPS1	protein phosphatase 6, regulatory subunit 1	protein-coding
7194	chr19	55790154	55792256	+	0	NA	promoter-TSS (NM_001297600)	promoter-TSS (NM_001297600)	20	NM_001297600	23640	Hs.53066	NM_012267	ENSG00000133265	HSPBP1	FES1	HSPA (heat shock 70kDa) binding protein, cytoplasmic cochaperone 1	protein-coding
7195	chr19	55794777	55796822	+	0	NA	5' UTR (NM_032430, exon 1 of 19)	5' UTR (NM_032430, exon 1 of 19)	265	NM_032430	84446	Hs.182081	NM_032430	ENSG00000160469	BRSK1	hSAD1	BR serine/threonine kinase 1	protein-coding
7196	chr19	55849745	55853017	+	0	NA	intron (NM_032701, intron 1 of 8)	CpG	160	NM_032701	84787	Hs.590982	NM_032701	ENSG00000133247	KMT5C	SUV420H2	lysine (K)-specific methyltransferase 5C	protein-coding
7197	chr19	55865012	55865893	+	0	NA	TTS (NM_001145402)	TTS (NM_001145402)	730	NM_144613	125965	Hs.550544	NM_144613	ENSG00000160471	COX6B2	COXVIB2|CT59	cytochrome c oxidase subunit VIb polypeptide 2 (testis)	protein-coding
7198	chr19	55880140	55881733	+	0	NA	intron (NM_000641, intron 1 of 4)	G-rich|Low_complexity|Low_complexity	895	NM_001267718	3589	Hs.467304	NM_000641	ENSG00000095752	IL11	AGIF|IL-11	interleukin 11	protein-coding
7199	chr19	55894163	55899283	+	0	NA	promoter-TSS (NM_001136137)	promoter-TSS (NM_001136137)	-577	NM_001136135	6158	Hs.652114	NM_000991	ENSG00000108107	RPL28	L28	ribosomal protein L28	protein-coding
7200	chr19	55917178	55920030	+	0	NA	intron (NM_014501, intron 1 of 3)	intron (NM_014501, intron 1 of 3)	721	NM_014501	27338	Hs.396393	NM_014501		UBE2S	E2-EPF|E2EPF|EPF5	ubiquitin-conjugating enzyme E2S	protein-coding
7201	chr19	55971923	55974022	+	0	NA	promoter-TSS (NM_001136202)	promoter-TSS (NM_001136202)	77	NM_024710	79763	Hs.467306	NM_024710	ENSG00000063241	ISOC2	-	isochorismatase domain containing 2	protein-coding
7202	chr19	55982642	55985540	+	0	NA	Intergenic	Intergenic	-3608	NM_033113	89887	Hs.525209	NM_033113	ENSG00000197483	ZNF628	ZEC|Zfp628	zinc finger protein 628	protein-coding
